year,country,country_code,pop_tot,fuel_exports_pct_merch_exports,merch_exports_current_us,ores_and_metals_exports_perc_merch_exports,gdp_current_us
2015,Antigua and Barbuda,ATG,93566,0,66000000,15.62045158,1336692593
2015,Argenti,ARG,43131966,2.607335075,56784000000,2.864151532,5.95E+11
2015,Aruba,ABW,104341,0.21533707,334134000,4.37949979,2691620112
2015,"Bahamas, The",BHS,374206,0,521000000,10.21979284,11752300000
2015,Barbados,BRB,285324,5.564839393,483000000,0.998928784,4725500000
2015,Belize,BLZ,360933,6.802222449,538000000,0.122952146,1723785357
2015,Bolivia,BOL,10869730,50.32564501,8726000000,26.48185163,33000198263
2015,Brazil,BRA,204471769,7.265044489,1.91E+11,10.75757462,1.80E+12
2015,British Virgin Islands,VGB,29152,,,,
2015,Cayman Islands,CYM,61724,,65000000,,4708336733
2015,Chile,CHL,17969353,0.775101209,62035000000,53.16814074,2.44E+11
2015,Colombia,COL,47520667,54.44942665,36018000000,1.304241144,2.93E+11
2015,Costa Rica,CRI,4847804,0.055046129,9422000000,1.236502464,54775994479
2015,Cuba,CUB,11324781,,3350000000,,87133000000
2015,Curacao,CUW,157980,,466000000,,3151910782
2015,Dominica,DMA,71183,,30000000,,540737037
2015,Dominican Republic,DOM,10281680,0.480422837,9442000000,2.332986977,71164826721
2015,Ecuador,ECU,16212020,37.69529035,18331000000,1.031289207,99290381000
2015,El Salvador,SLV,6325124,1.970502114,5509000000,1.238954201,23438000000
2015,Greda,GRD,109599,,33000000,,997007925.9
2015,Guatemala,GTM,16252429,4.137525422,10675000000,7.340930841,63767597194
2015,Guya,GUY,767432,8.74E-05,1151000000,16.52542262,3197220339
2015,Haiti,HTI,10695542,,882000000,,8724656126
2015,Honduras,HND,9112916,0.025577542,8226000000,1.681073267,20979767785
2015,Jamaica,JAM,2891021,16.07695275,1263000000,11.73073449,14187696311
2015,Mexico,MEX,121858258,5.983612417,3.81E+11,2.580863889,1.17E+12
2015,Nicaragua,NIC,6223240,0.296577614,4839000000,0.833224059,12756706583
2015,Pama,PAN,3968487,0.01229857,11348000000,0.115340566,54091700000
2015,Paraguay,PRY,6688746,25.16906508,8328000000,0.679057179,36164068797
2015,Peru,PER,30470734,8.683175185,34414000000,48.56236488,1.90E+11
2015,Puerto Rico,PRI,3473166,,,,1.03E+11
2015,Sint Maarten (Dutch part),SXM,38825,,128933000,,
2015,St. Kitts and Nevis,K,51203,0.000655443,55000000,,923155555.6
2015,St. Lucia,LCA,179126,0.367611959,180000000,5.63058113,1659110889
2015,St. Martin (French part),MAF,35858,,129000000,,
2015,St. Vincent and the Gredines,VCT,109148,0.000885661,46000000,0.296391649,755400000
2015,Surime,SUR,559143,,1652000000,0.310691034,4787367928
2015,Trinidad and Tobago,TTO,1370328,48.86568756,10804000000,3.465708995,25062893969
2015,Turks and Caicos Islands,TCA,35981,,,,893501650
2015,Uruguay,URY,3412009,0.29859796,7688000000,0.238215418,53274304222
2015,"Venezuela, RB",VEN,30081829,,37309000000,,
2015,Virgin Islands (U.S.),VIR,107710,,,,3748000000
2016,Antigua and Barbuda,ATG,94527,0,85000000,7.506100853,1436585185
2016,Argenti,ARG,43590368,2.570956592,57910000000,3.334112195,5.58E+11
2016,Aruba,ABW,104872,0.104645582,300000000,12.85804754,2646927374
2016,"Bahamas, The",BHS,377931,,481000000,,11938400000
2016,Barbados,BRB,285796,3.551638186,517000000,0.70377974,4840500000
2016,Belize,BLZ,368400,5.650173661,443000000,0.18681422,1775100179
2016,Bolivia,BOL,11031813,34.58850784,7082000000,36.5743789,33941126194
2016,Brazil,BRA,206163058,6.34469228,1.85E+11,10.46510485,1.80E+12
2016,British Virgin Islands,VGB,29355,,,,
2016,Cayman Islands,CYM,62569,,51000000,,4898908676
2016,Chile,CHL,18209068,0.804129827,60733000000,51.18415783,2.50E+11
2016,Colombia,COL,48171392,49.95959942,31768000000,1.223948235,2.83E+11
2016,Costa Rica,CRI,4899345,0.052186378,8256000000,1.118844056,57157992434
2016,Cuba,CUB,11335109,,2317000000,,91370000000
2016,Curacao,CUW,159664,,419000000,,3122287933
2016,Dominica,DMA,71307,,23000000,,576229629.6
2016,Dominican Republic,DOM,10397743,0.474102079,9840000000,1.835151404,75704647977
2016,Ecuador,ECU,16491115,33.09783637,16798000000,1.08958978,99937696000
2016,El Salvador,SLV,6356143,2.869368454,5420000000,1.12837487,24154000000
2016,Greda,GRD,110261,,30000000,,1061631222
2016,Guatemala,GTM,16583060,3.202336825,10463000000,6.520593311,68663649522
2016,Guya,GUY,771366,0.000576783,1441000000,17.66812537,3504024213
2016,Haiti,HTI,10839970,,1042000000,,7970649131
2016,Honduras,HND,9270795,0.024634865,7960000000,1.316739411,21717622071
2016,Jamaica,JAM,2906238,15.94531153,1202000000,9.71948418,14075894320
2016,Mexico,MEX,123333376,4.914137841,3.74E+11,2.758502647,1.08E+12
2016,Nicaragua,NIC,6303974,0.171876078,4782000000,0.79630603,13286048705
2016,Pama,PAN,4037078,0.029789409,11195000000,0.779363742,57957600000
2016,Paraguay,PRY,6777872,25.5826785,8494000000,0.531226839,36054281572
2016,Peru,PER,30926032,7.843905056,37082000000,52.33829563,1.92E+11
2016,Puerto Rico,PRI,3406495,,,,1.04E+11
2016,Sint Maarten (Dutch part),SXM,39969,,131782000,,
2016,St. Kitts and Nevis,K,51625,0.000382771,51000000,0,971166666.7
2016,St. Lucia,LCA,180024,2.255947483,120000000,1.580119112,1701596815
2016,St. Martin (French part),MAF,36065,,132000000,,
2016,St. Vincent and the Gredines,VCT,109459,0.007502683,47000000,0.107003459,774429629.6
2016,Surime,SUR,564888,35.17193153,1439000000,0.46717654,3166040523
2016,Trinidad and Tobago,TTO,1377564,,7632000000,,22284780327
2016,Turks and Caicos Islands,TCA,36559,,,,950357510
2016,Uruguay,URY,3424132,0.495635981,7043000000,0.314928944,52687612262
2016,"Venezuela, RB",VEN,29846179,,26696000000,,
2016,Virgin Islands (U.S.),VIR,107510,,,,3863000000
2017,Antigua and Barbuda,ATG,95426,0,208000000,7.272065805,1467977778
2017,Argenti,ARG,44044811,2.865930674,58622000000,3.320066801,6.43E+11
2017,Aruba,ABW,105366,0.110738796,,17.12434453,2700558659
2017,"Bahamas, The",BHS,381761,,571000000,,12150400000
2017,Barbados,BRB,286233,5.232462428,485000000,0.750527496,4989500000
2017,Belize,BLZ,375769,6.303917216,457000000,0.312458064,1836593466
2017,Bolivia,BOL,11192854,38.32339914,7846000000,39.57610148,37508642258
2017,Brazil,BRA,207833831,8.700852808,2.18E+11,11.87130112,2.05E+12
2017,British Virgin Islands,VGB,29577,,,,
2017,Cayman Islands,CYM,63382,,33000000,,5141833913
2017,Chile,CHL,18470439,0.927649818,69230000000,54.62475475,2.78E+11
2017,Colombia,COL,48901066,56.78986816,37881000000,1.301471605,3.12E+11
2017,Costa Rica,CRI,4949954,0.046101135,9556000000,1.341570607,58174549218
2017,Cuba,CUB,11339259,,2970000000,,96851000000
2017,Curacao,CUW,160175,,477000000,,3116610112
2017,Dominica,DMA,71458,,21000000,,519837037
2017,Dominican Republic,DOM,10513131,0.348201986,10121000000,1.878675346,79998045976
2017,Ecuador,ECU,16785361,36.51398539,19122000000,1.35491303,1.04E+11
2017,El Salvador,SLV,6388122,3.173847165,5760000000,1.161141104,24928000000
2017,Greda,GRD,110874,,30000000,,1126882296
2017,Guatemala,GTM,16914936,3.467631172,11001000000,3.575494118,75620081928
2017,Guya,GUY,775221,0.002512708,1436000000,14.65935282,3555205811
2017,Haiti,HTI,10982366,,999000000,,8409497402
2017,Honduras,HND,9429013,0.843994508,8675000000,2.648368036,23100748922
2017,Jamaica,JAM,2920853,18.85587702,1310000000,9.045856704,14806340821
2017,Mexico,MEX,124777324,5.584793055,4.09E+11,2.798862438,1.16E+12
2017,Nicaragua,NIC,6384855,0.249975415,5170000000,0.782343385,13843612005
2017,Pama,PAN,4106771,,11093000000,,62283800000
2017,Paraguay,PRY,6867062,24.80331236,8680000000,0.731371448,39008900332
2017,Peru,PER,31444297,9.461935628,45275000000,55.13657117,2.11E+11
2017,Puerto Rico,PRI,3325001,,,,1.04E+11
2017,Sint Maarten (Dutch part),SXM,40574,,,,
2017,St. Kitts and Nevis,K,52045,0.026858305,50000000,0.002183957,996944444.4
2017,St. Lucia,LCA,180955,5.620498432,127000000,2.915617924,1816728741
2017,St. Martin (French part),MAF,36560,,123000000,,
2017,St. Vincent and the Gredines,VCT,109827,5.21E-05,42000000,0.189189733,792177777.8
2017,Surime,SUR,570496,,2035000000,1.067511728,3068766110
2017,Trinidad and Tobago,TTO,1384072,,8863000000,,22474828527
2017,Turks and Caicos Islands,TCA,37115,,,,962525840
2017,Uruguay,URY,3436646,2.013861433,7888000000,0.321192112,56488991831
2017,"Venezuela, RB",VEN,29390409,,32540000000,,
2017,Virgin Islands (U.S.),VIR,107268,,,,3855000000
2018,Antigua and Barbuda,ATG,96286,0,87000000,0.307319819,1610574074
2018,Argenti,ARG,44494502,4.286103047,61620000000,0.491724221,5.20E+11
2018,Aruba,ABW,105845,0.122010695,,6.434776204,
2018,"Bahamas, The",BHS,385640,,630000000,,12424500000
2018,Barbados,BRB,286641,4.655721281,445000000,1.444002992,5145000000
2018,Belize,BLZ,383071,6.527012995,415000000,0.554577455,1871203164
2018,Bolivia,BOL,11353142,40.25348499,8965000000,36.31295783,40287647757
2018,Brazil,BRA,209469333,12.49701359,2.40E+11,11.28754239,1.87E+12
2018,British Virgin Islands,VGB,29802,,,,
2018,Cayman Islands,CYM,64174,,34000000,,
2018,Chile,CHL,18729160,0.89796249,75482000000,53.53753528,2.98E+11
2018,Colombia,COL,49648685,59.95947506,41831000000,1.219488893,3.31E+11
2018,Costa Rica,CRI,4999441,0.041345658,11201000000,1.439814689,60130106116
2018,Cuba,CUB,11338138,,2740000000,,1.00E+11
2018,Curacao,CUW,159800,,630000000,,3127908038
2018,Dominica,DMA,71625,,19000000,,550892592.6
2018,Dominican Republic,DOM,10627165,,10965000000,,85555390387
2018,Ecuador,ECU,17084357,41.09485845,21606000000,1.298902043,1.08E+11
2018,El Salvador,SLV,6420744,3.554088687,5905000000,1.267487773,26057000000
2018,Greda,GRD,111454,,32000000,,1185925926
2018,Guatemala,GTM,17247807,,11019000000,,78460447920
2018,Guya,GUY,779004,0.00317925,1315000000,21.17009889,3878662621
2018,Haiti,HTI,11123176,,1078000000,,9658721169
2018,Honduras,HND,9587522,,9105000000,,23969890431
2018,Jamaica,JAM,2934855,,1710000000,,15713908816
2018,Mexico,MEX,126190788,6.658348123,4.51E+11,2.769976746,1.22E+12
2018,Nicaragua,NIC,6465513,0.266637262,5014000000,1.023128267,13117845417
2018,Pama,PAN,4176873,,11480000000,,65055100000
2018,Paraguay,PRY,6956071,23.32949154,9045000000,0.905178258,40496953779
2018,Peru,PER,31989256,10.44897062,48942000000,53.54195151,2.22E+11
2018,Puerto Rico,PRI,3195153,,,,1.01E+11
2018,Sint Maarten (Dutch part),SXM,40654,,,,
2018,St. Kitts and Nevis,K,52441,,53000000,,1010822222
2018,St. Lucia,LCA,181889,,96000000,,1921848222
2018,St. Martin (French part),MAF,37264,,165000000,,
2018,St. Vincent and the Gredines,VCT,110210,0.000154177,50000000,0.432336776,811300000
2018,Surime,SUR,575991,,2100000000,1.515188075,3590753769
2018,Trinidad and Tobago,TTO,1389858,,10075000000,,23808146748
2018,Turks and Caicos Islands,TCA,37665,,,,1022312010
2018,Uruguay,URY,3449299,1.202067035,7498000000,0.359689982,59596885024
2018,"Venezuela, RB",VEN,28870195,,33660000000,,
2018,Virgin Islands (U.S.),VIR,106977,,,,
